Problem,IGD_mean,IGD_std,GD_mean,GD_std,Spacing_mean,Spacing_std,HV_mean,HV_std,Avg_Time,Avg_Solutions
UF1,0.597291,0.191469,0.597291,0.191469,0.016837,0.040559,0.793619,0.346481,6.94s,75.5
UF7,0.671167,0.240068,0.671167,0.240068,0.008220,0.004211,1.010447,0.439465,14.66s,93.1
